Trait,Timepoint,PValue_LRT,PValue_PBS,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD
rbc,19 Months,5.600732301314082e-5,6.562238918386316e-5,1020992,66,1025.4279999999999,0.23213859409537554,0.04633350095799658,1.404076691004444
ch,19 Months,0.5851976159642989,0.5848337620272459,10496,6138,11.625,0.04270782661283005,0.04831254713995934,1.028249854349226
chcm,19 Months,0.0012270280303707803,0.0015242450223873487,10496,15,10.91899999999805,0.18929490041105304,0.04696920745788364,1.2221917995849352
hdw,19 Months,3.4017233474514796e-13,9.49648767655039e-8,10530208,0,11748.909999999996,-0.3012602036140097,0.04544929298576207,1.3841488841241332
mcv,19 Months,0.48082991864850344,0.4933362464496395,9153,4515,11.870999999999185,-0.07778532489969489,0.04774063129832185,3.811323104897204
rdw,19 Months,9.603429163007604e-14,8.31878447252293e-8,12020986,0,12218.366999999998,-0.35914376910607887,0.04457999233940649,2.330473290313496
hct,19 Months,3.6498357970371487e-6,3.917758415345076e-6,1020991,3,1046.5110000000059,0.26938396043285623,0.04603044632447662,5.294519540586901
hgb,19 Months,1.1247481179754715e-7,5.974914917211579e-7,5020991,2,5065.082999999999,0.3033587955668199,0.045826092225794854,1.918785299801565
wbc,19 Months,0.614170798926623,0.6086500905020482,10496,6388,11.546000000002095,-0.11471499849371511,0.04737478274642738,10.794385082801261
nlr,19 Months,9.839724923743631e-9,4.982566829092809e-7,6020992,2,6121.139999999999,-0.16719032094125277,0.04717327547693827,1.1418226962864677
n.lymph,19 Months,0.02148319489153727,0.17138229970467753,10496,1798,11.645000000004075,-0.07231707084726953,0.04769919407482915,7.1826628870339535
n.neut,19 Months,1.2959286632696632e-7,2.968837596171783e-6,2020992,5,2054.4189999999944,-0.21313159294241596,0.0466321692130757,2.457809869822528
n.mono,19 Months,0.012566235719039032,0.11146041726207488,10496,1169,11.506999999997788,-0.11367566127567756,0.04740470963091106,0.4510614404618435
n.eos,19 Months,0.0017817021886805673,0.3687720301038392,10496,3870,11.687999999994645,0.04266057266004099,0.047774028100222736,0.35143038661727855
plt,19 Months,0.05819132276171979,0.42450223873487664,10496,4455,11.447000000000116,-0.08443957894979531,0.05218613515945443,545.2993526912152
mpv,19 Months,0.053718304585635535,0.3747947851279575,10354,3880,10.752999999996973,-0.10241441253201132,0.048966595294494306,0.6846018366903919
mpm,19 Months,3.2744349350855018e-6,5.974575731665153e-5,1020992,60,1037.3500000000058,-0.21405343069829444,0.04664474477556985,0.10319349202542093
