Trait,Timepoint,PValue_LRT,PValue_PBS,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD
rbc,7 Months,0.6640592188245011,0.685555797259082,9193,6302,13.303999999999998,0.048916848415640396,0.043801740939083345,0.7651064605309327
ch,7 Months,0.2985798959579824,0.29827569781842433,10496,3130,11.773999999999997,0.05112099623928686,0.04366789386183918,0.7669600697681033
chcm,7 Months,0.43994721104271484,0.4460321996760979,10496,4681,12.283000000000005,0.026273784070935138,0.044624313636995275,0.8735137331506871
hdw,7 Months,3.2641523217691315e-7,1.663756202483123e-7,12020991,1,12431.781,-0.24262863466832854,0.043065416459614834,0.4692168169771744
mcv,7 Months,0.4296930961579507,0.43364770886920073,10496,4551,11.635000000000218,0.03949380818763104,0.044145032292047824,2.413821470892954
rdw,7 Months,2.157821095161161e-5,2.154767128439792e-5,1020991,21,1052.9050000000007,-0.20171062778412857,0.04294635336196382,1.280078666229444
hct,7 Months,0.13380545893189955,0.1384205010955511,10496,1452,11.537000000000262,0.09076724110101783,0.04357219252498708,3.036867158029285
hgb,7 Months,0.04004967179047003,0.0441078403353339,10496,462,11.471999999999753,0.11250869741677046,0.04369711186669223,1.0470854504867508
wbc,7 Months,0.6936831305323714,0.6944841383252358,10496,7289,11.656000000000859,0.0072507940689131795,0.04408005819912333,2.838605103782325
nlr,7 Months,8.723999080901823e-4,6.668571972944651e-4,10496,6,11.270999999998821,-0.12058635421964504,0.043658473896156735,0.5206843764100244
n.lymph,7 Months,0.05379134087648774,0.05563494331713823,10496,583,11.47899999999936,0.07293050019759183,0.04363889391770837,2.3935665657797665
n.neut,7 Months,0.03325250180285588,0.034581308945412975,10496,362,12.259000000000015,-0.1589668203212269,0.044381938797530045,0.9795478126254547
n.mono,7 Months,0.06392706961433314,0.06201771934838525,10496,650,11.546000000000276,-0.0771474828843334,0.04484093830719939,0.10630098549578121
n.eos,7 Months,0.44064619340480604,0.4394588930170525,10496,4612,11.385000000000218,0.039887195289114004,0.04373847554285047,0.2747174052753807
plt,7 Months,0.031033238810115327,0.032771267981328,10496,343,11.310999999999694,-0.11974510298974729,0.04536412558323079,334.3103442841241
mpv,7 Months,0.36356385009264225,0.3618176621891969,10496,3797,11.139999999999418,-0.04696290844752959,0.046869997896277306,0.4729142783278327
mpm,7 Months,0.017775560914445432,0.016957225874059255,10496,177,11.210000000000946,-0.12422899447469059,0.04382290786225251,0.056856753001402714
